source,concept,description
SQuAD Dataset,Compass-M1 uydusunun amacı nedir?,sinyal testi ve validasyonu ve frekans dosyalaması için
SQuAD Dataset,Compass-M1 uydusunun yüksekliği nedir?,21.150 km
SQuAD Dataset,Compass-M1 uydusunun eğimi nedir?,55.5 derece
SQuAD Dataset,Compass-M1 hangi frekans bantlarını iletiyor?,"E2, E5B ve E6"
SQuAD Dataset,"Compass sistemi ne zaman Çin ve yakın lokasyonlara navigasyon, konumlandırma ve zamanlama verileri sunmaya başladı?",27 Aralık
SQuAD Dataset,BeiDou-2 sistemi ne zaman hizmet vermeye başladı?,Aralık 2012
SQuAD Dataset,BeiDou-2 sistemi 2012 yılında nerede hizmet vermeye başladı?,Asya-Pasifik bölgesi
SQuAD Dataset,"Aralık 2012 itibariyle, BeiDou-2 sistemi için kaç uydu piyasaya sürüldü?",16
SQuAD Dataset,BeiDou-2 sistemi için başlatılan 16 uydudan kaç tanesi çalışır durumda?,14
SQuAD Dataset,BeiDou sistemi ne zaman küresel kapsama geçmeye başladı?,2015
SQuAD Dataset,BeiDou sistemi için 18. ve 19. uydular ne zaman piyasaya sürüldü?,25 Temmuz 2015
SQuAD Dataset,BeiDou sistemi için 18. ve 19. uydular nereden fırlatıldı?,Xichang Uydu Lansman Merkezi
SQuAD Dataset,BeiDou sistemi için 18. ve 19. uydular ne ile piyasaya sürüldü?,Uzun Mart 3B / Keşif-1 taşıyıcı roketi
SQuAD Dataset,Testten sonra en son üç uydu ne sağlayacak?,navigasyon hizmetleri
SQuAD Dataset,Yeni bir navigasyon sinyalizasyon sistemini test etmek için kaç uydu kullanılacak?,üç
SQuAD Dataset,Kilise başkanları tarafından verilen kuralların adı nedir?,Canon yasası
SQuAD Dataset,Kanon yaratmaktan ilk olarak hangi organ sorumluydu?,kilise konseyi
SQuAD Dataset,Yunanca kanon terimi nedir?,kanon
SQuAD Dataset,Doğu Kilisesi'nde kaç eski kanon var?,seksen beş
SQuAD Dataset,Batı Kilisesi'nde kaç eski kanon var?,elli
SQuAD Dataset,Apostolik Kanunları için başka bir terim nedir?,Kilise Kanunları
SQuAD Dataset,Kaç tane büyük ayin var?,beş
SQuAD Dataset,Roma Katolik Kilisesi'nin lideri kimdir?,Yüce Pontiff
SQuAD Dataset,Roma Katolik Kilisesi'nin evrensel pozitif yasasına lideri tarafından ne verilir?,resmi otorite ve ilan
SQuAD Dataset,Papa'nın resmi unvanı nedir?,Yüce Pontiff
SQuAD Dataset,Hangi işletme Batı Avrupa'da en uzun süre iç hukuk mekanizmasına sahip olduğuna inanıyor?,Katolik Kilisesi
SQuAD Dataset,Jus antiquum'u hangi dönem izledi?,jus novum
SQuAD Dataset,Canon Yasası'ndan önceki zamanın adı nedir?,jus vetus
SQuAD Dataset,Doğu Katolik Kiliselerinin yasal sistemleri batıdakilerden ne şekilde farklıydı?,farklı disiplinler ve uygulamalar
SQuAD Dataset,Doğu Kiliselerinin Kanunları Yasasına ne sebep oldu?,kodlama süreci
SQuAD Dataset,Doğu Katolik Kiliseleri yasası ne zaman teşvik edildi?,1990
SQuAD Dataset,Katolik Kilisesi'nin laik hukuktan hangi mesleki rolleri de kullanılıyor?,"avukatlar, hakimler"
SQuAD Dataset,J.C.B. ne yapar anlamına gelir?,Juris Canonici Baccalaureatus
SQuAD Dataset,J.C.B. tarafından kısaltılmış terimin İngilizce eşdeğeri nedir?,Canon Hukuk Lisans
SQuAD Dataset,Canon Yasasının Lisanslanması için Latince terim nedir?,Juris Canonici Licentiatus
SQuAD Dataset,Hangi terim Roma Kilisesi mahkemelerinde kullanılan prosedür türünü karakterize eder?,soruşturma
SQuAD Dataset,Kilisenin yasalarıyla birlikte hangi kıtaların yasaları gelişti?,Avrupa
SQuAD Dataset,Kilise hukukunun medeni hukuk kurumlarının büyümesinde görülebileceğini kim söyledi?,Edson Luiz Sampel
SQuAD Dataset,"Sampel, kanon hukukunun etkilerine örnek olarak hangi iki bölgeden bahsediyor?",Avrupa ve Latin Amerika
SQuAD Dataset,Sampel'in ne üzerinde büyük bir etkisi olduğunu iddia ediyor?,çağdaş toplum
SQuAD Dataset,Hangi filozof ilmihal tarafından alıntılanmıştır?,Aquinas
SQuAD Dataset,"Hangi terim, Kateşizm tarafından yorumlandığı şekliyle Aquinas'tan türetilen hukuk fikrini ifade eder?",davranış kuralı
SQuAD Dataset,"1917'den önce, yasal sistemi açısından hangi kilise Doğu Katolik Kiliseleri ile benzer durumdaydı?",Latin veya Batı Kilisesi
SQuAD Dataset,"Pius XI, tüm Doğu Kiliselerinin kanunlarını kodlama hedefini ne zaman açıkladı?",1929
SQuAD Dataset,Canon Yasası'nın orijinal Yasası ne zaman yayınlandı?,1917
SQuAD Dataset,İlk Kanun Roma Katolik Kilisesi'nin hangi bölümünde yayınlandı?,Roma Ayini
SQuAD Dataset,1983 yılında yeni bir kanon kanunu nasıldı?,Roma Ayini
SQuAD Dataset,Ortodoks mezhep üyeleri tarafından hangi dil kullanılıyor?,Yunan
SQuAD Dataset,Pēdálion'un bileşenleri nelerdir?,üzerlerinde kanonlar ve yorumlar
SQuAD Dataset,Pēdálion İngilizce'de ne anlama geliyor?,Dümen
SQuAD Dataset,Hangi Ortodoks liderler kanonu gerektiği gibi uyarlayabilirler?,piskoposlar
SQuAD Dataset,Kilise mahkemelerinin hangi kurumda hala laik toplumda ilgili işlevleri vardır?,İngiltere Kilisesi
SQuAD Dataset,İngiltere Kilisesi ve onunla uyumlu kiliseler için bir terim nedir?,Anglikan Cemaati
SQuAD Dataset,Amerika'daki Anglikan Cemaati üyesi örneği nedir?,Piskoposluk Kilisesi
SQuAD Dataset,Kanada'daki Anglikan Cemaati üyesi örneği nedir?,Kanada Anglikan Kilisesi
SQuAD Dataset,Anglikan Cemaati'nin mevcut kiliseleri hala ne ile çalışıyor?,kendi özel kanon sistemleri
SQuAD Dataset,Anglikan Cemaatinin her üyesi Kilise hukukuna ne katkıda bulunur?,kendi yasal sistemi
SQuAD Dataset,Cemaat içinde kanonik ilkelerin ne tür bir güce sahip olduğu söylenebilir?,yaşam
SQuAD Dataset,Bazı mezheplerde kanon hukuku için iki olası terim daha nelerdir?,"""uygulama ve prosedür"" veya ""kilise düzeni"""
SQuAD Dataset,Yönetimin hangi yönü kilise düzeniyle kaplıdır?,hükümet
SQuAD Dataset,Decorumun hangi yönü uygulama ve prosedür tarafından kapsanmaktadır?,disiplin
SQuAD Dataset,İnancın hangi yönü kanon hukuku kapsamındadır?,ibadet
SQuAD Dataset,Hangi grup Roma kanunları ile sorun yaşadı?,Presbiteryenler
SQuAD Dataset,Hangi yıl Roma kilisesi hukukuna Presbiteryenler tarafından eleştirildi?,1572
SQuAD Dataset,Reform Kilisesi ne kadar süredir bu kanonun kilise üyeleri tarafından yönetildiğini belirtmiştir?,1500 yıl
SQuAD Dataset,Kanun hukukunun yönetiminden hangi kilise yetkilileri sorumluydu?,piskoposlar
SQuAD Dataset,Lutherans'ın temel doküman koleksiyonu nedir?,Concord Kitabı
SQuAD Dataset,Concord Kitabı hangi yüzyılda Lutheran Kilisesi'nin merkezi bir parçasıydı?,16
SQuAD Dataset,Somali hükümeti kaç tane resmi radyo ve televizyon şebekesi işletiyor?,iki
SQuAD Dataset,Somali'deki iletişim hizmetleri esas olarak kamu veya özel sektörde mi yer alıyor?,özel
SQuAD Dataset,Somali'nin ulusal posta servisi hangi yıl yeniden başlatıldı?,2013
SQuAD Dataset,"2012 yılında, Ulusal İletişim düzenleyicisi kurmak için hangi yasa kabul edildi?",Ulusal İletişim Yasası
SQuAD Dataset,Somali'deki iletişim hizmetleri çoğunlukla kamu veya özel sektörde mi yoğunlaşıyor?,özel
SQuAD Dataset,Somali'deki iletişim çoğunlukla hangi sektörde yoğunlaşıyor?,özel
SQuAD Dataset,Somali valisi kaç resmi rado ve TV ağı işletiyor?,iki
SQuAD Dataset,Somali'deki posta servisi hangi yıl yeniden başlayacak?,2013
SQuAD Dataset,"Sprint, ITT ve Telenor neye örnektir?",çok uluslu şirketler
SQuAD Dataset,"Somali'deki her Şehir, kasaba ve mezraya kim hizmet veriyor?",Somali telekomünikasyon şirketleri
SQuAD Dataset,1000 kişi başına yaklaşık kaç ana hat var?,25
SQuAD Dataset,Hormuud Telekom yılda brüt ne kadar?,40 milyon dolar
SQuAD Dataset,Dahabhiil Somtal ağının çoğunluğunu hangi yıl aldı?,2008
SQuAD Dataset,Somtal ağı nerede bulunur?,Hargeisa
SQuAD Dataset,STC ne anlama geliyor?,Somali Telekomünikasyon Şirketi
SQuAD Dataset,"STC, müşterilerinin kaç ağ üzerinden iletişim kurmasına izin verir?",üç
SQuAD Dataset,Ulusal İletişim Yasası hangi yıl yürürlüğe girdi?,2012
SQuAD Dataset,Somali posta servisinin adı nedir?,Somali Post
SQuAD Dataset,Somali'nin ulusal posta servisinin adı nedir?,Somali Post
SQuAD Dataset,Posta hizmetinin altyapısı ne zaman yok edildi?,iç savaş sırasında
SQuAD Dataset,Emirates posta postası merkezine hangi havaalanı ev sahipliği yapar?,Dubai Uluslararası
SQuAD Dataset,Somali Postası için imar planını kaç aşama oluşturdu?,üç
SQuAD Dataset,İmar planının birinci aşamasında başkentte kaç şube kurulacak?,16
SQuAD Dataset,Genel üslerde kaç şube açacak?,17
SQuAD Dataset,Somali makamları Evrensel Posta Birliği'ne hangi yıl katıldılar?,2012
SQuAD Dataset,Somali'deki posta servisi hangi yıl yeniden başladı?,2013
SQuAD Dataset,Somali Posta hizmetinin kapasitesine ulaşmasına kim yardım ediyor?,Evrensel Posta Birliği
SQuAD Dataset,Posta birliği ne tür yardımlar sağlıyor?,teknik
SQuAD Dataset,Mustaqbal Media Corporation nerededir?,Mogadişu
SQuAD Dataset,Shabelle Medya ağı hangi yılda yılın medyası ödülüne layık görüldü?,2010
SQuAD Dataset,Başkentten kaç tane kısa dalga radyo istasyonu yayın yapıyor?,bir
SQuAD Dataset,Puntland bölgesinde kaç tane özel radyo istasyonu var?,altı
SQuAD Dataset,RAdio Gaalkacyo nerede çalışıyor?,Galkayo'da
SQuAD Dataset,Galkayo hangi eyalette bulunuyor?,Mudug eyaleti
SQuAD Dataset,Somaliland bölgesinde devlet tarafından işletilen kaç radyo istasyonu var?,bir
SQuAD Dataset,Somali'deki ana kamu yayıncısı hangi TV istasyonu?,Somali Ulusal Televizyonu
SQuAD Dataset,Somali Ulusal Televizyonu nerededir?,Mogadişu
SQuAD Dataset,Somali Ulusal Televizyonu'nun deneysel yayınları hangi yıl başladı?,2011
SQuAD Dataset,SNTV günde kaç saat yayın yapıyor?,24
SQuAD Dataset,SBC TV nereden yayın yapıyor?,Bosaso
SQuAD Dataset,Puntland'ın ticaret başkenti nedir?,Bosaso
SQuAD Dataset,Puntland ve Somaliland bölgelerinde ne kadar hükümet hükümeti var?,bir
SQuAD Dataset,Mogadişu Times nerede yayınlandı?,Mogadişu
SQuAD Dataset,Özgür medya kuruluşları hangi yıl genişlemeye başladı?,2003
SQuAD Dataset,Reklamverenler basılı reklamlardan daha fazla müşteriye ulaşmak için neye geçiş yaptı?,radyo ve çevrimiçi reklamlar
SQuAD Dataset,Delka Broadsheet'in eski bir editörü kimler?,Issa Farah
SQuAD Dataset,IST nedir?,Bilgi Destek Ekibi
SQuAD Dataset,Aralık 2012 itibarıyla Somali'nin sistematik bir özelliği yoktu?,internet engelleme veya filtreleme
SQuAD Dataset,Somali'de ilk ISS hangi yıllarda kuruldu?,1999
SQuAD Dataset,Somali internete bağlanmak için hangi kıtadaki son ülkelerden biriydi?,Afrika
SQuAD Dataset,2000 yılında Somali internet kullanıcılarının sayısı neydi?,200
SQuAD Dataset,2011 yılında internet kullanıcılarının sayısı kaçtı?,106.000
SQuAD Dataset,2015 yılında Somali'deki tahmini mobil abone sayısı nedir?,6.1 milyon
SQuAD Dataset,STC hangi sektörü denetliyor?,BİT sektörü
SQuAD Dataset,"Hangi yıldan itibaren çevirmeli, kablosuz ve uydu hizmetleri sunuldu?",2009
SQuAD Dataset,2009 yılında Somali'nin sabit büyüme oranı neydi?,% 12.5
SQuAD Dataset,Somali'de Mogadişu ve Bosaso nelerdir?,büyük şehirler
SQuAD Dataset,Soalia'daki hangi şehir en büyük abone sayısına sahiptir?,Mogadişu
SQuAD Dataset,En büyük kablosuz internet servislerinin merkezi neredeydi?,Mogadişu
SQuAD Dataset,Dalcom'un başka adı nedir?,Wanaag HK
SQuAD Dataset,Dalkom Somali internet üzerinden neler sağladı?,uydu
SQuAD Dataset,Yerel uydu servis sağlayıcılarının ana müşterilerinden kimlerdi?,internet kafeler
SQuAD Dataset,Tri-Band 3G müşterilerine ne tür bir bağlantı sunuyor?,daha hızlı ve daha güvenli
SQuAD Dataset,3G ne anlama geliyor?,üçüncü nesil
SQuAD Dataset,Somali ilk fiber optik bağlantısını hangi yıl aldı?,2013
SQuAD Dataset,Liquid Telecoms Network kaç mil uzunluğundadır?,10.500 mil
SQuAD Dataset,Dalcom Somali şu anda 1000 mil karelik bir veri merkezi nerede inşa ediyor?,Mogadişu
SQuAD Dataset,Doğu Pirenelerde Katalan ne zaman gelişti?,9. yüzyıl
SQuAD Dataset,Hangi yıl Katalanca'nın ana dil olarak düşüşü başladı?,1479
SQuAD Dataset,1975-1982'de ne oldu?,İspanya'nın demokrasiye geçişi
SQuAD Dataset,Katalanca lehçelerinin bölümü nedir?,Doğu ve Batı
SQuAD Dataset,Lehçeler arasındaki temel fark nedir?,telaffuz
SQuAD Dataset,Katalan ve Valensiya'nın ne olduğu varsayılır?,aynı dil
SQuAD Dataset,Katalan'ın kaç cinsiyeti var?,iki
SQuAD Dataset,Katalanca'nın hangi dilbilgisi tarzı var?,çekim
SQuAD Dataset,Katalanca türevi nedir?,Katalonya
SQuAD Dataset,Calalunya için Latince nedir?,Gathia Launia
SQuAD Dataset,Katalonya'nın geldiği kök sözcük nedir?,Gothia
SQuAD Dataset,Katalan yerine Valensiya nerede kullanılır?,Valensiya Topluluğu
SQuAD Dataset,Katalanca ve Valensiya isimleri ne için?,aynı dil
SQuAD Dataset,Katalanca konuşmacıların iki alanındaki farklı telaffuzlar nasıl bir etki yaratıyor?,lehçeleri
SQuAD Dataset,Katalan Pirenelerin doğu ucunu ne zaman örttü?,9. yüzyıl
SQuAD Dataset,"Pirenelerin yanı sıra, 9. yüzyılda Katalan hangi alanı kapladı?",Hispania Tarraconensis
SQuAD Dataset,Barselona İlçesi Carolengian İmparatorluğu'ndan ne zaman ayrıldı?,988
SQuAD Dataset,Makakronik Latince ne zaman Katalan belirtileri göstermeye başladı?,11. yüzyıl
SQuAD Dataset,Katalan yöneticiler topraklarını ne zaman Ebro Nehri'nin kuzeyine genişletti?,11. ve 12. yüzyıllar
SQuAD Dataset,Katalan yöneticiler Valencia'yı ve Balear Adaları'nı ne zaman devraldı?,13. yüzyıl
SQuAD Dataset,Katalanca Sardunya'ya ne zaman ulaşır?,14. yüzyıl
SQuAD Dataset,Murcia ne zaman İspanyolca konuşuyor?,15. yüzyıl
SQuAD Dataset,Katalan'ın altın çağı ne zamandı?,Düşük Orta Çağ
SQuAD Dataset,Aragon Tacı'nın merkezi neredeydi?,Valencia şehri
SQuAD Dataset,15. yüzyıla kadar Sicilya'nın resmi dili neydi?,Katalan
SQuAD Dataset,Katalan hangi yüzyıla kadar Sardunya'da resmi dil olarak kullanıldı?,17
SQuAD Dataset,Katalanca'yı büyük dillerden biri olarak kim söyledi?,Costa Carreras
SQuAD Dataset,Tirant lo Blanc'ı kim yazdı?,Martorell
SQuAD Dataset,Matorell'in çalışması neye geçiş gösteriyor?,Rönesans değerleri
SQuAD Dataset,Castille ve Aragon ne zaman birleştirildi?,1479
SQuAD Dataset,1479'dan sonra hangi dil daha değerli hale geldi?,İspanyol
SQuAD Dataset,Hangi dil Katalanca'nın yerini almaya başladı?,İspanyol
SQuAD Dataset,Pireneler Antlaşması ne zaman yapıldı?,1659
SQuAD Dataset,İspanya neden Katalonya'nın bir kısmını Fransa'ya verdi?,Pireneler Antlaşması
SQuAD Dataset,Fransa Katalan'ı ne zaman yasakladı?,1789
SQuAD Dataset,Fransızlar Cezayir'i ne zaman aldılar?,1833
SQuAD Dataset,Fransa'nın resmi dili nedir?,Fransızca
SQuAD Dataset,Genel Konsey hangi dili tanıtmak istiyor?,Katalan
SQuAD Dataset,16. ve 17. yüzyıllarda neler azaldı?,Katalan
SQuAD Dataset,1714'teki savaş dokümantasyonda doğru dil olarak neyi zorunlu kıldı?,İspanyol
SQuAD Dataset,İspanya Miras Savaşı'nda kim yenildi?,Katalan
SQuAD Dataset,19. yüzyıl Katalan edebiyatında ne üretti?,canlanma
SQuAD Dataset,Renaixenca nedir?,Katalanca edebi canlanma
SQuAD Dataset,Aribau Ode'yi Vatan'a ne zaman yazdı?,1833
SQuAD Dataset,Bu canlanma dönemi ne zaman başladı?,1833
SQuAD Dataset,Katalanca her zaman tek dil neredeydi?,Andorra
SQuAD Dataset,Andorra anayasası ne zaman üretildi?,1993
SQuAD Dataset,Andorrans hangi politikaları uyguluyor?,Andorranizasyon politikaları
SQuAD Dataset,Andorran okul politikası nedir?,Katalanca orta öğretim
SQuAD Dataset,Andorra'nın tek dili nedir?,Katalan
SQuAD Dataset,Ortaokul öğrencilerinin% 15'i yabancı dil olarak ne öğreniyor?,Katalan
SQuAD Dataset,Alicante'de Katalan'ın yerini alması nedir?,İspanyol
SQuAD Dataset,Alicante eyaletinde İspanyolca'nın yerini ne alıyor?,Katalan
SQuAD Dataset,Katalanca çeşitli nedir?,Oksitanca dil
SQuAD Dataset,Oksitanca benzerlik derecelerinin yanı sıra neler var?,farklar
SQuAD Dataset,Katalanca ve İtalyanca arasındaki benzerlik nedir?,% 87
SQuAD Dataset,Roma Tarraconensis dili hangi alandan farklıydı?,Roma Hispanya'sının geri kalanı
SQuAD Dataset,İspanyolca ve Katalanca'da farklı sonuçlar nelerdir?,Cermen üst katmanı
SQuAD Dataset,İspanyolca ve Katalanca dilinde hangi dil kredisi kelimeleri bulunur?,Arapça kredi kelimeleri
SQuAD Dataset,Arapça unsur hangi dilde daha fazla öne çıkıyor?,İspanyol
SQuAD Dataset,İspanyolca teja kelimesinin kökeni nedir?,Latin kökenli
SQuAD Dataset,Paisos Katalanları nelerdir,Katalan Ülkeleri
SQuAD Dataset,Katalan Ülkeleri için terim nedir?,Països Katalanlar
SQuAD Dataset,Katalanca diğer Romantik dillerden nasıl farklıdır?,birçok tek heceli kelime
SQuAD Dataset,Dilin ne tür bir son geliştirmesi var?,obstruent
SQuAD Dataset,Katalanca standart telaffuz nedir?,Orta Katalanca
SQuAD Dataset,Orta Katalanca nedir?,standart telaffuz
SQuAD Dataset,Açıklamaları ne için?,standart telaffuz
SQuAD Dataset,Bu ortak özelliğin istisnası nedir?,İspanyol
SQuAD Dataset,Orta Katalanca'da sesli olarak azaltılmış kaç sesli harf vardır?,üç
SQuAD Dataset,Diğer lehçelerin ne tür sesli harf işlemleri vardır?,farklı
SQuAD Dataset,Diyalektik sesli harf azaltmalarını nerede bulabilirsiniz?,bölüm telaffuz
SQuAD Dataset,Katalanın dünyaya yerleşimini hangi alanda inceliyor?,Katalanca toplumdilbilim
SQuAD Dataset,Katalan'ın farklı çeşitleri hakkında yapılan çalışma nedir?,Katalanca toplumdilbilim
SQuAD Dataset,Bu bir alt disiplin nedir?,Katalan filolojisi
SQuAD Dataset,"Dil, konuşmacılar ve gerçeklikle ne yapmak istiyor?",ilişkiyi analiz et
SQuAD Dataset,Katalanca lehçeleri nelerdir?,tekdüzelik
SQuAD Dataset,Lehçeler arasında en yüksek olan nedir?,anlaşılabilirlik
SQuAD Dataset,Lehçeler arasındaki anlaşılabilirlik yüzdesi nedir?,% 90 ila% 95
SQuAD Dataset,Anlaşılabilirliğin istisnası hangi lehçedir?,Alguerese
SQuAD Dataset,Batı lehçelerinde a ve e nasıl?,farklı
SQuAD Dataset,Doğu grubunda kaç tane lehçe var?,dört
SQuAD Dataset,Orta Katalanca hangi bölüme aittir?,Doğu bloğu
SQuAD Dataset,Kuzeybatı Katalan ve Valensiya hangi bloğa aittir?,Batı Katalanca
SQuAD Dataset,Katalanca standart telaffuzu nelerdir?,Orta Katalanca
SQuAD Dataset,En çok konuşmacı nerede bulunur?,Orta Katalanca
SQuAD Dataset,Nüfusun yoğun olduğu alanda konuşuluyor?,Barselona eyaleti
SQuAD Dataset,Tarragona eyaletinin hangi kısmı Orta Katalanca konuşulur?,doğu yarısı
SQuAD Dataset,Hangi dil istisna?,İspanyol
SQuAD Dataset,Vurgusuz ünlüler üçe nerede düşer?,Doğu Katalanca
SQuAD Dataset,Bu azalmanın istisnası nedir?,Mayorka
SQuAD Dataset,Vurgulanmamış ünlüler hangi dilde dörde düşer?,Mayorka
SQuAD Dataset,Başka ünlüler de başka hangi kalıpları takip eder?,Batı Katalanca
SQuAD Dataset,/ u / Kalan farklı Katalan türü gibi mi?,Batı Katalanca
SQuAD Dataset,Batı Katalanca'da vurgulanmamış ünlüler neye indirgenir?,beş
SQuAD Dataset,Hangi harfler ayrı kalır?,/ a u i /
SQuAD Dataset,Bu model başka hangi dillerde bulunur?,İtalyanca ve Portekizce
SQuAD Dataset,Hangi form Orta ve Batı ile aynı / e / dir?,Balear
SQuAD Dataset,Parlo veya temo hangi dildir?,Kuzeybatı
SQuAD Dataset,Parl hangi dil?,Balear
SQuAD Dataset,Parli hangi dil biçimindedir?,Kuzey
SQuAD Dataset,Katalan'ın iki bloğu nedir?,Doğu ve Batı
SQuAD Dataset,Standart neye dayanır?,Doğu Katalanca
SQuAD Dataset,Çoğu konuşmacı hangi formu istisna eder?,Standart Katalanca
SQuAD Dataset,Şu anda Doğu Katalonya'da hangi dil formları kullanılmıyor?,geleneksel olanlar
SQuAD Dataset,Jo compro olarak ne değiştirildi?,jo compre
SQuAD Dataset,Hangi yaygın Valencia formları kullanılır?,birçok sözlü form
SQuAD Dataset,IEC standardı nerede kullanılır?,Balear Adaları
SQuAD Dataset,Hangi lehçe birçok arkaik kelime kullanır?,Alguerese
SQuAD Dataset,Alguerese ne tür zamirleri uyarladı?,zayıf zamirler
SQuAD Dataset,Katalanca Aragon'un konuşan kısmı nerede?,La Franja
SQuAD Dataset,Aragon hükümeti ne zaman bir dil düzenleyicisi kurdu?,2011
SQuAD Dataset,Regülatör hangi dili standartlaştırmayı amaçlamaktadır?,Katalan
SQuAD Dataset,Düzenlenecek dil nerede bulunur?,La Franja
SQuAD Dataset,Valensiya nasıl sınıflandırılır?,Batı lehçesi
SQuAD Dataset,Batı Katalonya'da ne tür bir Valencan konuşulur?,kuzeybatı çeşitleri
SQuAD Dataset,Lleida ve Tarragona eyaletleri nerede?,Batı Katalonya
SQuAD Dataset,Katalanca ve Valensiya arasındaki anlaşılabilirlik yüzdesi nedir?,% 90 ila% 95
SQuAD Dataset,Valensiya'nın resmi düzenleyici organı nedir?,Valensiya Dil Akademisi
SQuAD Dataset,Kim Katalanca ve Valensiya arasında dilsel birlik olduğunu söylüyor?,Valensiya Dil Akademisi
SQuAD Dataset,AVL'yi kim kurdu?,Valensiya parlamentosu
SQuAD Dataset,AVL standardı neye dayanmaktadır?,Castelló Normları
SQuAD Dataset,Bu standardı kim kullanıyor?,yazan herkes
SQuAD Dataset,Valensiyalı insanların çoğu Valensiya'nın Katalanca konusunda ne düşünüyor?,farklı
SQuAD Dataset,Katalan ve Valensiya'nın farklı olduğuna kim daha az inanıyor?,genç nesiller
SQuAD Dataset,AB Avrupa Anayasasını ne zaman yarattı?,2004
SQuAD Dataset,AB'ye Avrupa Anayasası çevirilerini kim verdi?,İspanyol hükümeti
SQuAD Dataset,Katalan'ın iki diyalektik grubu nedir?,Doğu ve Batı
SQuAD Dataset,Hangi dilde sözcüksel bir birlik vardır?,Katalan
SQuAD Dataset,Farklı lehçelerden kelimeler ne kullanabilir?,Edebi Katalanca
SQuAD Dataset,Edebi kullanımdan ne tür kelimeler hariç tutulur?,kısıtlı kullanım
SQuAD Dataset,Kuzey lehçelerinden kelime kullanma tercihi ne zaman başladı?,19. yüzyıl
SQuAD Dataset,Katalanca öğrenilmiş kelimelerinin çoğunu nereden alıyor?,Yunanca ve Latince
SQuAD Dataset,Latince ve Yunanca kelimeler alma süreci ne zaman başladı?,çok erken
SQuAD Dataset,Kimin çalışmasında edinilmiş kelimelerin örneklerini bulabilirsiniz?,Ramon Llull
SQuAD Dataset,Kimin yazıları Katalanca'da öğrenilmiş kelimelere iyi bir örnektir?,Roís de Corella
SQuAD Dataset,Katalanca ne tür bir türev diğer dillere benzer?,morfolojik
SQuAD Dataset,Türevlerde başka hangi kelime değişiklikleri olabilir?,ses değişimleri
SQuAD Dataset,Beyit sayısında Katalancaya hangi diller benzer?,İtalyanca ve İspanyolca
SQuAD Dataset,Hangi dillerde cinsiyete göre değişmeyen sıfatları kaybetme eğilimi vardır?,Oksitanca ve Fransızca
SQuAD Dataset,Ab sıfatıyla işaretlenmiş bir cinsiyet örneği nedir?,bullent / bullenta
SQuAD Dataset,Cinsiyete bağlı olmayan bir sıfatın geleneksel şekli ne olurdu?,bullent / bullenta
SQuAD Dataset,-S ekinin eklenmesi ne üretebilir?,morfolojik değişimler
SQuAD Dataset,Çok sayıda eksiklik belirleyicileri ne yapar?,karmaşık
SQuAD Dataset,Katalanca hangi dilde daha fazla kasılmaya sahiptir?,İspanyol
SQuAD Dataset,Başka hangi dil bu tür bir yapıyı paylaşıyor?,İtalyan
SQuAD Dataset,Hangi diller Katalanca'dan daha küçük cümlelerde konumlandırma kullanır?,Fransızca veya İspanyolca
SQuAD Dataset,Katalanca sözlü çekim nedir?,daha karmaşık
SQuAD Dataset,Katalanca'da ikincil bir rol oynayan nedir?,morfolojik değişimler
SQuAD Dataset,Katalanca sesli harf alternatifleri nasıldır?,aktif
SQuAD Dataset,Ne kadar lehçe değiştirildi?,sentetik endikatif mükemmel
SQuAD Dataset,Üçüncü konjugasyonda kaç fiil var?,700
SQuAD Dataset,Estonya'da kaç kişi Estonca konuşuyor?,yaklaşık 1.1 milyon
SQuAD Dataset,Farklı göçmen topluluklarından kaç kişi Estonca konuşuyor?,onbinlerce
SQuAD Dataset,Estonca Uralic dil ailesinin hangi şubesine ait?,Finnic
SQuAD Dataset,Estonca hangi dil ailesine aittir?,Ural
SQuAD Dataset,Estonya'da kaç kişi anadili olarak Estonca konuşuyor,1.1 milyon
SQuAD Dataset,Estonca hangi dil ailesinin bir parçasıdır?,Ural
SQuAD Dataset,Estonya'da hangi Uralic dil ailesinin şubesi bulunabilir?,Finnic
SQuAD Dataset,Estonya'da kaç tane anadili olmayan Estonca konuşan var?,onbinlerce
SQuAD Dataset,Fonemik uzunluğun üç derecesi nedir?,"kısa, uzun ve ""aşırı"""
SQuAD Dataset,Dilbilimciler arasında ayrım konusunda uyuşmazlık konusu nedir?,altta yatan fonolojik mekanizma
SQuAD Dataset,Hangi Uralic dil dalı Estonca içerir?,Finnic
SQuAD Dataset,Estonca hangi dil grubunun bir parçası değildir?,Hint-Avrupa dilleri
SQuAD Dataset,Estonyalılar ne tür bir ahenk kaybetti?,ünlü
SQuAD Dataset,Kuzey Haçlı Seferleri ne zaman oldu?,13. yüzyıldan 1918'e
SQuAD Dataset,Kuzey Haçlı Seferleri'nde hangi ülkeler yer aldı?,"Danimarka, Almanya, İsveç ve Rusya"
SQuAD Dataset,Haçlı seferlerinin ardından hangi ülke hâkim oldu?,Estonya
SQuAD Dataset,Estonya Finnik dillerinin ilk yazılı kayıtları ne kadar geriye gidiyor?,13. yüzyıl
SQuAD Dataset,İlk yayınlanan Estonca dil kitabı neydi?,Lutheran el yazması
SQuAD Dataset,Kallamaa duaları ne zaman yazıldı?,1524 ve 1528
